"","x"
"224","munchausen s and munchausen by proxy syndrome"
"225","name calling"
"226","narcissism"
"227","neglect"
"228","nervous"
"229","nervous excited"
"230","no win scenarios"
"231","nonverbal intimidation"
"232","normalizing"
"233","not my fault syndrome"
"234","not using seatbelts"
"235","objectification"
"236","obsessed with guns"
"237","obsessive compulsive behavior"
"238","oppositional defiant disorder"
"239","ostracizing"
"240","panic attacks"
"241","paranoia"
"242","parent death"
"243","parental alienation syndrome"
"244","parentification"
"245","participation in group sex"
"246","passive"
"247","passive aggression"
"248","passive aggressive behavior"
"249","pathological lying"
"250","perfectionism"
"251","perfectionist"
"252","persistent nightmares"
"253","physical abuse"
"254","physical violence"
"255","poor adaptation flexibility"
"256","poor detail orientation"
"257","poor grades"
"258","poor intuition"
"259","poor leader"
"260","poor mental health score"
"261","poor persuasive ability"
"262","poor team player"
"263","pornography use"
"264","possess firearm"
"265","possessive"
"266","possessiveness"
"267","pragmatic"
"268","proactive"
"269","projection"
"270","prolonged emotional states"
"271","proxy recruitment"
"272","psychological distress"
"273","psychosomatic disorders"
"274","push"
"275","push out of car"
"276","push partner"
"277","push pull"
"278","put partner down"
"279","raging  violence and impulsive aggression"
"280","random violence"
"281","ranking and comparing"
"282","rape"
"283","reactive"
"284","rejected by peers"
"285","relationship hyper vigilance"
"286","reserved"
"287","ridicule"
"288","riding the emotional elevator"
"289","risk taker"
"290","robbery"
"291","routine oriented"
"292","rude"
"293","sabotage"
"294","scapegoating"
"295","school suspension"
"296","scratch"
"297","scream at girlfriend"
"298","selective competence"
"299","selective memory and selective amnesia"
"300","self aggrandizement"
"301","self harm"
"302","self loathing"
"303","self oriented"
"304","self victimization"
"305","sense of entitlement"
"306","serious"
"307","sexual assault"
"308","sexual coercion"
"309","sexual compulsivity"
"310","sexual harassment"
"311","sexual objectification"
"312","sexually active"
"313","sexually explicit material"
"314","shaming"
"315","shy"
"316","silent treatment"
"317","single parent"
"318","situational ethics"
"319","slam against wall"
"320","slap"
"321","sleep deprivation"
"322","smoking"
"323","socially withdrawn"
"324","spend more time with friends"
"325","spiteful"
"326","splitting"
"327","spread hurtful rumor"
"328","stalking"
"329","strangle"
"330","stress intolerant"
"331","stunted emotional growth"
"332","subject to negative acts they can t defend against"
"333","substance use"
"334","sudden change in sleep habbit"
"335","sudden weight change"
"336","suicidal"
"337","suspensions"
"338","swear at partner"
"339","take drug"
"340","targeted humor  mocking and sarcasm"
"341","tell cruel story"
"342","temper tantrums"
"343","terminal uniqueness"
"344","terrorize partner"
"345","testing"
"346","the abuser profile"
"347","thought policing"
"348","thoughtless"
"349","threat"
"350","threat partner"
"351","threats"
"352","throw something"
"353","twist arm"
"354","un conventional thinker"
"355","uncooperative"
"356","undependable"
"357","undiplomatic"
"358","unprotected sex"
"359","unwanted sexual touch"
"360","victim"
"361","visible prolonged sadness"
"362","weak school bond"
"363","weak social ties"
"364","weapon use"
"365","yell at girlfriend"
"366","leather jacket"
"367","disruptive behavior"
"368","vandalism"
"369","problems with authority"
"370","concentration issues"
